,total_sqft,bath,price,bhk
65,510.0,1.0,25.25,1
66,785.0,1.0,55.0,1
67,440.0,1.0,16.5,1
68,650.0,1.0,38.0,1
69,764.0,1.0,32.0,1
70,340.0,1.0,10.0,1
71,628.0,1.0,24.0,1
72,400.0,1.0,14.0,1
73,615.0,1.0,17.835,1
74,520.0,1.0,19.5,1
75,551.0,1.0,30.0,1
76,500.0,1.0,17.0,1
77,654.0,1.0,38.4,1
78,665.0,2.0,28.585,1
79,595.0,1.0,42.0,1
80,540.0,1.0,30.0,1
81,776.5,2.0,48.145,1
82,600.0,1.0,16.5,1
83,1200.0,1.0,48.0,1
84,1050.0,1.0,44.0,1
85,884.0,2.0,36.0,1
86,640.0,1.0,55.0,1
87,650.0,1.0,26.0,1
88,600.0,1.0,28.0,1
89,688.0,1.0,50.0,1
90,686.0,1.0,62.5,1
91,530.0,1.0,18.0,1
92,500.0,2.0,14.0,1
93,500.0,1.0,20.0,1
94,765.0,2.0,30.0,1
95,671.0,1.0,36.85,1
96,581.91,2.0,25.0,1
97,360.0,1.0,26.0,1
98,950.0,1.0,50.0,1
99,825.0,1.0,36.29,1
100,595.0,1.0,31.83,1
101,750.0,1.0,25.0,1
102,825.0,1.0,45.0,1
103,630.0,1.0,47.0,1
104,1050.0,1.0,70.0,1
105,515.0,1.0,25.0,1
106,540.0,1.0,36.0,1
107,400.0,1.0,14.0,1
108,790.5,1.0,41.9,1
109,668.0,1.0,36.85,1
110,960.0,2.0,18.0,1
111,800.0,1.0,100.0,1
112,395.0,1.0,10.25,1
113,605.0,1.0,29.0,1
114,714.0,1.0,28.0,1
115,351.0,1.0,16.0,1
116,600.0,1.0,32.0,1
117,700.0,1.0,30.09,1
118,693.0,1.0,34.3,1
119,674.0,1.0,21.0,1
120,590.0,1.0,13.57,1
121,645.0,1.0,16.45,1
122,760.0,1.0,50.3,1
123,440.0,1.0,28.0,1
124,700.0,1.0,41.0,1
125,606.0,1.0,34.78,1
126,527.0,1.0,26.0,1
127,1260.0,1.0,41.0,1
128,1500.0,1.0,37.5,1
129,600.0,1.0,17.0,1
130,660.0,1.0,54.0,1
131,812.0,1.0,26.0,1
132,730.0,1.0,35.0,1
133,700.0,1.0,36.0,1
134,890.0,1.0,75.0,1
135,734.0,1.0,19.82,1
136,630.0,1.0,13.86,1
137,800.0,1.0,52.0,1
138,525.0,1.0,25.0,1
139,461.82,1.0,31.7,1
140,794.0,1.0,60.0,1
141,1351.0,2.0,53.0,1
142,648.0,1.0,31.75,1
143,905.0,1.0,55.0,1
144,900.0,1.0,30.0,1
145,665.0,1.0,46.08,1
146,630.5,1.0,32.79,1
147,615.0,1.0,28.29,1
148,460.0,1.0,21.0,1
149,525.0,1.0,26.0,1
150,673.0,1.0,36.85,1
151,650.0,1.0,20.0,1
152,664.0,1.0,35.0,1
153,1380.0,1.0,62.1,1
154,705.0,1.0,36.5,1
155,685.0,1.0,40.0,1
156,1260.0,1.0,41.0,1
157,525.0,1.0,30.0,1
158,923.0,1.0,60.84,1
159,500.0,1.0,70.0,1
160,420.0,1.0,17.0,1
161,660.0,1.0,62.0,1
162,596.0,1.0,42.0,1
163,650.0,1.0,30.0,1
164,910.0,1.0,42.0,1
165,794.0,1.0,65.0,1
166,525.0,1.0,30.0,1
167,532.0,1.0,22.49,1
168,700.0,1.0,35.0,1
169,550.0,1.0,17.0,1
170,350.0,1.0,13.5,1
171,835.0,1.0,46.95,1
172,650.0,1.0,23.0,1
173,923.0,1.0,45.69,1
174,703.0,1.0,52.0,1
175,605.0,1.0,40.0,1
176,750.0,2.0,50.0,1
177,965.0,1.0,32.0,1
178,1500.0,1.0,19.5,1
179,813.0,1.0,39.0,1
180,735.0,1.0,75.0,1
181,500.0,1.0,24.0,1
182,520.0,1.0,14.04,1
183,760.0,1.0,21.28,1
184,458.0,1.0,19.695,1
185,709.0,1.0,34.385,1
186,607.0,1.0,35.0,1
187,812.0,1.0,26.0,1
188,605.0,1.0,41.745,1
189,440.0,1.0,35.0,1
190,656.0,1.0,53.0,1
191,550.0,1.0,21.0,1
192,715.0,1.0,45.0,1
193,620.0,1.0,27.0,1
194,833.0,1.0,49.0,1
195,669.0,1.0,36.85,1
196,708.0,1.0,28.32,1
197,440.0,1.0,28.0,1
198,645.0,1.0,16.45,1
199,624.0,1.0,35.0,1
200,722.0,1.0,46.0,1
201,705.0,1.0,52.5,1
202,706.0,1.0,48.24,1
203,416.0,1.0,19.5,1
204,615.0,1.0,44.0,1
205,655.0,1.0,53.0,1
206,662.0,1.0,42.0,1
207,755.0,1.0,42.41,1
208,645.0,1.0,16.45,1
209,640.0,1.0,20.5,1
210,715.0,1.0,29.0,1
211,705.0,1.0,57.0,1
212,750.0,1.0,25.5,1
213,780.0,1.0,55.0,1
214,661.0,1.0,36.0,1
215,300.0,1.0,20.0,1
216,580.0,1.0,27.0,1
217,435.0,1.0,19.5,1
218,418.0,1.0,12.0,1
219,654.0,1.0,37.0,1
220,606.0,1.0,40.0,1
221,660.0,1.0,75.0,1
222,650.0,1.0,25.0,1
223,905.0,1.0,52.0,1
224,2400.0,1.0,200.0,1
225,615.0,1.0,24.0,1
226,550.0,1.0,12.0,1
227,450.0,1.0,25.0,1
228,810.0,1.0,21.0,1
229,680.0,1.0,32.64,1
230,502.0,1.0,25.0,1
231,670.0,1.0,35.0,1
232,600.0,2.0,55.0,1
233,710.0,2.0,40.0,1
234,412.5,1.0,19.8,1
235,700.0,1.0,30.84,1
236,600.0,1.0,30.0,1
237,1200.0,1.0,125.0,1
238,700.0,1.0,59.0,1
239,480.0,1.0,60.0,1
240,600.0,1.0,43.0,1
241,760.0,1.0,24.9,1
242,500.0,1.0,31.0,1
243,709.0,1.0,34.735,1
244,670.0,1.0,36.85,1
245,400.0,1.0,10.0,1
246,825.0,1.0,44.9,1
247,540.0,1.0,16.5,1
248,600.0,1.0,43.0,1
249,600.0,1.0,20.0,1
250,750.0,1.0,30.0,1
251,525.0,1.0,30.0,1
252,675.0,1.0,45.0,1
253,850.0,1.0,57.0,1
254,630.0,1.0,60.0,1
255,500.0,1.0,15.0,1
256,680.0,1.0,46.0,1
257,600.0,1.0,75.0,1
258,625.0,1.0,19.0,1
259,750.0,1.0,52.5,1
260,500.0,1.0,17.0,1
261,627.0,1.0,30.0,1
262,525.0,2.0,27.0,1
263,530.0,1.0,29.44,1
264,1200.0,1.0,95.0,1
265,656.0,1.0,43.0,1
266,905.0,1.0,50.0,1
267,630.5,1.0,32.15,1
268,905.0,1.0,52.0,1
269,712.0,1.0,38.44,1
270,654.0,1.0,22.0,1
271,614.5,1.0,30.715,1
272,1200.0,2.0,45.0,1
273,840.0,1.0,75.0,1
274,658.0,1.0,34.0,1
275,1200.0,1.0,150.0,1
276,693.0,1.0,34.3,1
277,630.0,1.0,47.0,1
278,705.0,1.0,55.0,1
279,602.0,1.0,26.0,1
280,550.0,1.0,23.0,1
281,540.0,1.0,22.5,1
282,635.0,1.0,26.0,1
283,658.0,1.0,26.91,1
284,690.0,1.0,39.8,1
285,950.0,1.0,39.9,1
286,651.0,1.0,17.5,1
287,645.0,1.0,16.45,1
288,500.0,2.0,24.0,1
289,610.0,1.0,39.0,1
290,840.0,2.0,50.0,1
291,583.0,1.0,26.9,1
292,750.0,1.0,51.0,1
293,1200.0,1.0,69.0,1
294,1200.0,1.0,48.0,1
295,1500.0,1.0,75.0,1
296,644.0,1.0,40.0,1
297,700.0,1.0,38.0,1
298,645.0,1.0,16.45,1
299,3820.0,1.0,306.0,1
300,360.0,1.0,16.9,1
301,925.0,1.0,40.7,1
302,638.0,1.0,32.0,1
303,550.0,1.0,16.0,1
304,539.0,1.0,45.0,1
305,698.5,1.0,28.57,1
306,585.0,1.0,21.0,1
307,907.0,1.0,38.0,1
308,480.0,1.0,25.0,1
309,450.0,1.0,60.0,1
310,600.0,2.0,23.0,1
311,905.0,1.0,62.0,1
312,600.0,1.0,19.5,1
313,720.0,1.0,60.0,1
314,770.0,1.0,43.82,1
315,705.0,1.0,57.0,1
316,650.0,1.0,17.0,1
317,525.0,1.0,27.0,1
318,435.0,1.0,21.0,1
319,645.0,1.0,16.45,1
320,525.0,1.0,27.5,1
321,605.0,1.0,40.0,1
322,450.0,1.0,12.5,1
323,400.0,2.0,25.0,1
324,400.0,1.0,55.0,1
325,1500.0,1.0,60.0,1
326,665.0,1.0,32.0,1
327,552.0,1.0,23.5,1
328,650.0,1.0,16.0,1
329,450.0,1.0,16.0,1
330,26136.0,1.0,150.0,1
331,645.0,1.0,16.45,1
332,1075.0,1.0,19.5,1
333,500.0,1.0,30.0,1
334,834.0,1.0,62.0,1
335,600.0,1.0,52.0,1
336,650.0,1.0,70.0,1
337,600.0,1.0,47.0,1
338,435.0,1.0,22.0,1
339,470.0,2.0,10.0,1
340,525.0,1.0,26.25,1
341,780.0,1.0,70.0,1
342,646.0,1.0,25.84,1
343,905.0,1.0,60.0,1
344,381.0,1.0,28.0,1
345,670.0,1.0,50.0,1
346,784.0,1.0,35.285,1
347,654.0,1.0,36.25,1
348,375.0,1.0,26.0,1
349,777.0,1.0,38.535,1
350,400.0,1.0,35.0,1
351,6000.0,1.0,276.0,1
352,825.0,2.0,40.0,1
353,840.0,1.0,57.6,1
354,640.0,1.0,19.83,1
355,450.0,1.0,18.0,1
356,705.0,1.0,57.0,1
357,525.0,1.0,26.0,1
358,600.0,1.0,33.0,1
359,645.0,1.0,42.5,1
360,800.0,1.0,72.0,1
361,500.0,1.0,14.0,1
362,655.0,1.0,27.0,1
363,600.0,1.0,18.0,1
364,650.0,1.0,19.87,1
365,605.0,1.0,13.31,1
366,800.0,1.0,32.0,1
367,530.0,1.0,13.5,1
368,760.0,1.0,50.0,1
369,600.0,1.0,35.0,1
370,661.0,1.0,40.0,1
371,933.0,2.0,58.0,1
372,762.5,1.0,45.4,1
373,694.0,1.0,30.84,1
374,850.0,1.0,60.0,1
375,782.0,1.0,19.55,1
376,620.0,2.0,48.0,1
377,500.0,1.0,20.0,1
378,693.0,1.0,27.375,1
379,775.0,1.0,39.0,1
380,425.0,1.0,15.0,1
381,1020.0,2.0,49.87,1
382,664.0,1.0,35.4,1
383,525.0,2.0,29.25,1
384,728.5,1.0,31.315,1
385,510.0,1.0,34.0,1
386,416.0,1.0,18.0,1
387,527.0,1.0,35.0,1
388,1200.0,1.0,14.0,1
389,600.0,1.0,45.0,1
390,400.0,1.0,11.5,1
391,666.0,1.0,36.8,1
392,600.0,1.0,45.0,1
393,800.0,1.0,39.99,1
394,672.0,1.0,27.0,1
395,662.0,1.0,29.0,1
396,645.0,1.0,34.18,1
397,560.0,1.0,19.0,1
398,460.0,1.0,13.0,1
399,520.0,2.0,29.0,1
400,600.0,1.0,58.0,1
401,1000.0,1.0,19.0,1
402,375.0,1.0,40.0,1
403,630.0,1.0,35.0,1
404,450.0,1.0,9.0,1
405,812.0,1.0,26.0,1
406,600.0,2.0,35.0,1
407,654.0,1.0,38.0,1
408,700.0,1.0,30.84,1
409,552.5,1.0,13.26,1
410,418.0,2.0,11.5,1
411,575.0,1.0,38.0,1
412,745.0,1.0,34.27,1
413,660.0,1.0,23.0,1
414,663.0,1.0,46.1,1
415,662.0,1.0,45.0,1
416,565.0,1.0,33.0,1
417,635.0,1.0,28.0,1
418,630.0,2.0,70.0,1
419,450.0,1.0,15.0,1
420,420.0,1.0,23.5,1
421,410.0,1.0,15.0,1
422,775.0,1.0,34.1,1
423,381.0,1.0,28.0,1
424,560.0,1.0,21.0,1
425,1350.0,2.0,45.0,1
426,500.0,1.0,18.0,1
427,700.0,1.0,35.0,1
428,500.0,1.0,16.0,1
429,648.0,1.0,34.0,1
430,602.0,1.0,38.0,1
431,697.0,1.0,35.0,1
432,2400.0,2.0,230.0,1
433,535.0,1.0,35.0,1
434,1806.0,1.0,150.0,1
435,400.0,1.0,11.5,1
436,800.0,1.0,29.5,1
437,682.0,1.0,36.23,1
438,1150.0,1.0,52.0,1
439,492.0,1.0,40.0,1
440,583.0,1.0,28.275,1
441,790.5,1.0,42.295,1
442,456.0,1.0,15.0,1
443,656.0,1.0,38.77,1
444,534.0,1.0,19.65,1
445,645.0,1.0,39.0,1
446,1000.0,1.0,14.0,1
447,500.0,1.0,17.5,1
448,700.0,1.0,35.0,1
449,711.0,1.0,42.65,1
450,630.0,1.0,40.5,1
451,645.0,1.0,41.0,1
452,551.0,1.0,30.0,1
453,500.0,1.0,70.0,1
454,550.0,1.0,16.0,1
455,560.0,1.0,45.0,1
456,994.0,2.0,54.67,1
457,450.0,1.0,30.0,1
458,550.0,1.0,11.5,1
459,702.0,1.0,52.0,1
460,650.0,1.0,40.0,1
461,450.0,1.0,20.0,1
462,605.0,1.0,22.0,1
463,900.0,1.0,52.3,1
464,662.0,1.0,38.0,1
465,600.0,1.0,45.0,1
466,801.0,1.0,33.645,1
467,470.0,1.0,21.0,1
468,664.0,1.0,34.0,1
469,2000.0,1.0,200.0,1
470,863.0,1.0,40.55,1
471,620.0,1.0,86.8,1
472,1050.0,2.0,41.0,1
473,770.0,1.0,43.82,1
474,635.0,1.0,28.0,1
475,620.0,1.0,25.0,1
476,580.0,1.0,27.5,1
477,400.0,2.0,50.0,1
478,1200.0,1.0,48.0,1
479,10030.0,1.0,150.0,1
480,525.0,1.0,26.01,1
481,661.0,1.0,33.0,1
482,600.0,1.0,20.0,1
483,1100.0,2.0,75.0,1
484,600.0,1.0,35.0,1
485,1500.0,2.0,85.0,1
486,600.0,1.0,37.0,1
487,615.0,1.0,46.0,1
488,630.0,1.0,46.0,1
489,630.0,1.0,33.7,1
490,691.0,1.0,31.1,1
491,656.0,1.0,34.77,1
492,612.5,1.0,27.565,1
493,660.0,1.0,30.0,1
494,500.0,1.0,33.0,1
495,705.0,2.0,50.0,1
496,500.0,1.0,14.0,1
497,458.0,1.0,33.66,1
498,660.0,1.0,35.0,1
499,524.0,1.0,29.0,1
500,550.0,1.0,27.0,1
501,650.0,1.0,35.0,1
502,674.0,1.0,36.85,1
503,936.0,1.0,53.0,1
504,840.0,1.0,57.0,1
505,1200.0,1.0,45.0,1
506,1350.0,1.0,55.0,1
507,700.0,1.0,38.0,1
508,658.0,1.0,26.91,1
509,488.0,1.0,20.0,1
510,650.0,1.0,50.0,1
511,675.0,1.0,27.0,1
512,720.0,1.0,32.39,1
513,938.0,1.0,50.0,1
514,581.0,1.0,29.0,1
515,516.0,1.0,39.0,1
516,615.0,1.0,46.0,1
517,625.0,1.0,27.0,1
518,933.0,1.0,61.0,1
519,750.0,1.0,105.0,1
520,672.0,1.0,36.85,1
521,418.0,1.0,12.0,1
522,747.0,1.0,34.355,1
523,509.0,1.0,20.0,1
524,645.0,1.0,55.0,1
525,663.0,1.0,46.0,1
526,710.0,1.0,40.42,1
527,410.0,1.0,10.0,1
528,410.0,1.0,15.0,1
529,1200.0,1.0,65.0,1
530,418.0,1.0,17.0,1
531,610.0,1.0,28.0,1
532,400.0,1.0,25.0,1
533,700.0,1.0,21.5,1
534,740.0,1.0,23.65,1
535,1090.0,2.0,31.48,1
536,1200.0,2.0,66.0,1
537,416.0,1.0,17.19,1
538,1200.0,1.0,39.82,1
539,525.0,2.0,27.0,1
540,827.5,1.0,42.535,1
541,410.0,1.0,48.0,1
542,850.0,1.0,78.0,1
543,700.0,1.0,31.2,1
544,705.0,1.0,65.0,1
545,648.0,1.0,40.0,1
546,650.0,1.0,18.0,1
547,500.0,1.0,13.0,1
548,644.0,1.0,32.0,1
549,750.0,1.0,47.0,1
550,702.0,1.0,35.8,1
551,750.0,1.0,35.0,1
552,793.0,1.0,40.0,1
553,675.0,1.0,35.0,1
554,633.0,1.0,17.09,1
555,485.0,1.0,19.5,1
556,850.0,1.0,50.0,1
557,625.0,1.0,43.68,1
558,520.0,1.0,14.04,1
559,450.0,1.0,20.0,1
560,420.0,1.0,12.5,1
561,400.0,1.0,10.25,1
562,550.0,1.0,16.75,1
563,777.0,1.0,38.46,1
564,1350.0,1.0,145.0,1
565,1000.0,1.0,60.0,1
566,760.0,1.0,50.4,1
567,663.0,1.0,32.82,1
568,825.0,1.0,35.475,1
569,602.0,1.0,33.0,1
570,850.0,1.0,37.32,1
571,720.0,1.0,33.0,1
572,708.0,1.0,41.0,1
573,540.0,1.0,22.0,1
574,950.0,1.0,40.0,1
575,700.0,1.0,25.5,1
576,475.0,1.0,26.0,1
577,705.0,1.0,34.545,1
578,595.0,1.0,40.0,1
579,654.0,1.0,49.0,1
580,525.0,1.0,30.0,1
581,605.0,1.0,30.24,1
582,567.0,1.0,25.0,1
583,747.0,1.0,27.0,1
584,500.0,1.0,51.0,1
585,525.0,1.0,26.0,1
586,2559.0,1.0,55.0,1
587,410.0,1.0,10.0,1
588,720.0,1.0,28.0,1
589,540.0,1.0,35.0,1
590,600.0,1.0,22.8,1
591,540.0,1.0,24.0,1
592,575.0,1.0,16.75,1
593,640.0,1.0,45.0,1
594,589.0,1.0,29.0,1
595,615.0,1.0,43.08,1
596,602.0,2.0,30.0,1
597,600.0,1.0,24.0,1
598,645.0,1.0,16.45,1
599,645.0,1.0,16.45,1
600,580.0,1.0,45.0,1
601,755.0,1.0,30.12,1
602,450.0,1.0,20.0,1
603,540.0,1.0,22.5,1
604,600.0,1.0,55.0,1
605,610.0,1.0,18.5,1
606,509.0,1.0,23.0,1
607,530.0,1.0,18.0,1
608,613.0,1.0,48.0,1
609,896.0,1.0,100.0,1
610,520.0,1.0,15.0,1
611,520.0,1.0,14.04,1
612,1075.0,2.0,52.57,1
613,1800.0,1.0,200.0,1
614,877.0,1.0,59.0,1
615,510.0,1.0,22.0,1
616,812.0,1.0,26.0,1
617,550.0,1.0,17.0,1
623,1175.0,2.0,73.5,2
630,1296.0,2.0,81.0,2
631,1330.74,2.0,91.79,2
633,1459.0,2.0,94.82,2
636,1185.0,2.0,75.0,2
639,845.0,2.0,55.0,2
641,1100.0,2.0,62.0,2
645,1358.0,2.0,80.58,2
646,1240.0,2.0,70.0,2
649,1326.0,2.0,78.0,2
651,1060.0,2.0,58.06,2
652,1000.0,2.0,70.0,2
653,1296.0,2.0,80.0,2
658,782.0,2.0,55.68,2
661,1100.0,2.0,75.0,2
663,945.0,2.0,54.0,2
665,950.0,2.0,57.0,2
668,1000.0,2.0,60.0,2
671,957.0,2.0,58.0,2
675,1060.0,2.0,60.0,2
676,1152.0,2.0,64.5,2
687,1285.0,2.0,82.0,2
690,1359.0,2.0,87.0,2
694,1080.0,2.0,72.0,2
700,1060.0,2.0,60.0,2
701,1285.0,2.0,72.5,2
706,1108.0,2.0,63.0,2
713,1210.0,2.0,80.9,2
724,1438.0,2.0,100.0,2
728,1280.0,2.0,75.0,2
731,1385.0,2.0,83.09,2
732,1128.0,2.0,65.0,2
735,1000.0,2.0,67.0,2
736,1192.0,2.0,74.0,2
739,1200.0,2.0,79.0,2
742,1325.0,2.0,76.0,2
749,1308.0,2.0,89.04,2
751,1205.0,2.0,66.0,2
752,1075.0,2.0,60.0,2
756,1050.0,2.0,65.0,2
758,1451.0,2.0,90.0,2
767,1175.0,2.0,82.0,2
770,1125.0,2.0,62.0,2
771,1000.0,2.0,55.0,2
773,1105.0,2.0,75.0,2
774,985.0,2.0,67.0,2
777,1194.0,2.0,69.0,2
778,1150.0,2.0,69.0,2
781,708.0,1.0,40.0,2
782,1250.0,2.0,76.0,2
785,1346.0,2.0,74.03,2
789,1020.0,2.0,63.0,2
792,1440.0,2.0,95.0,2
796,1200.0,2.0,74.0,2
800,1150.0,3.0,52.5,2
801,1128.0,2.0,63.0,2
806,720.0,2.0,45.0,2
811,1195.0,2.0,70.0,2
813,1150.0,2.0,70.0,2
830,1230.0,2.0,80.0,2
837,1600.0,2.0,115.0,2
844,1374.0,2.0,95.0,2
846,1200.0,2.0,85.0,2
847,1050.0,1.0,56.0,2
851,875.0,2.0,52.8,2
852,1180.0,2.0,80.0,2
864,1083.0,2.0,61.75,2
870,1337.0,2.0,82.0,2
872,1050.0,2.0,71.0,2
887,1279.0,2.0,77.0,2
892,775.0,2.0,55.0,2
894,1215.0,2.0,67.0,2
900,1120.0,2.0,65.0,2
901,1179.0,2.0,66.02,2
902,1296.0,2.0,83.0,2
907,1056.0,2.0,61.0,2
914,918.0,2.0,50.49,2
915,1447.0,2.0,83.0,2
919,1128.0,2.0,68.75,2
921,1339.0,2.0,75.0,2
925,1142.0,2.0,70.0,2
926,1567.0,2.0,92.0,2
939,1180.0,2.0,69.0,2
942,1385.0,2.0,80.0,2
943,1005.0,2.0,55.78,2
944,975.0,2.0,65.0,2
945,2400.0,3.0,150.0,2
946,1174.0,2.0,69.0,2
947,918.0,2.0,52.0,2
950,793.0,2.0,45.0,2
953,884.0,1.0,58.0,2
955,1282.0,2.0,87.0,2
962,1350.0,2.0,80.0,2
965,1113.0,2.0,62.0,2
966,650.0,2.0,42.0,2
973,1175.0,2.0,73.5,2
974,1425.0,2.0,80.0,2
985,1460.0,2.0,80.5,2
994,1100.0,2.0,70.0,2
996,1234.0,2.0,80.0,2
1001,1161.0,2.0,64.08,2
1002,1290.0,2.0,74.0,2
1005,1315.0,2.0,85.0,2
1007,1225.0,2.0,67.38,2
1018,1192.0,2.0,75.0,2
1021,1093.0,2.0,70.0,2
1026,1360.0,2.0,95.0,2
1028,1330.0,2.0,92.5,2
1029,1128.0,2.0,65.49,2
1031,1198.0,2.0,77.0,2
1037,996.0,2.0,67.0,2
1041,1281.0,2.0,74.0,2
1045,950.0,2.0,65.0,2
1050,1078.0,2.0,65.0,2
1051,1349.0,2.0,78.0,2
1056,1408.0,2.0,85.0,2
1060,1180.0,2.0,75.0,2
1061,1400.0,2.0,78.0,2
1065,924.0,2.0,65.0,2
1069,957.0,2.0,56.0,2
1071,1050.0,2.0,67.0,2
1078,1121.0,2.0,78.0,2
1080,1206.0,2.0,75.0,2
1081,1210.0,2.0,72.0,2
1087,980.0,2.0,69.0,2
1088,1280.0,2.0,75.0,2
1089,1265.0,2.0,85.0,2
1090,1132.0,2.0,67.0,2
1094,1200.0,2.0,71.0,2
1097,1380.0,2.0,80.0,2
1098,1200.0,2.0,78.0,2
1104,1150.0,2.0,72.2,2
1105,1146.0,2.0,70.0,2
1111,1197.0,2.0,84.0,2
1113,1105.0,2.0,65.0,2
1118,1093.0,2.0,65.0,2
1129,1100.0,2.0,62.7,2
1131,1440.0,2.0,98.0,2
1139,1128.0,2.0,65.65,2
1140,1180.0,2.0,70.0,2
1148,687.325,2.0,42.72,2
1153,1200.0,2.0,75.0,2
1155,1200.0,2.0,66.0,2
1167,1012.0,2.0,66.5,2
1169,1282.0,2.0,72.0,2
1170,1330.0,2.0,86.98,2
1171,1192.0,2.0,71.0,2
1179,3040.0,1.0,180.0,2
1183,2400.0,1.0,150.0,2
1185,1135.0,2.0,68.0,2
1186,900.0,2.0,55.0,2
1197,1205.0,2.0,78.5,2
1200,1200.0,3.0,72.0,2
1203,1060.0,2.0,62.0,2
1211,1232.0,2.0,89.0,2
1214,1495.0,2.0,90.0,2
1220,1193.0,2.0,86.0,2
1221,1125.0,2.0,62.0,2
1227,1280.0,2.0,85.0,2
1231,1330.0,2.0,93.36,2
1236,1050.0,2.0,62.0,2
1238,1098.0,2.0,72.0,2
1239,1128.0,2.0,75.0,2
1240,1418.0,2.0,95.0,2
1242,812.0,2.0,55.0,2
1250,927.0,2.0,55.0,2
1252,1180.0,2.0,72.0,2
1257,1200.0,2.0,70.0,2
1259,1296.0,2.0,75.0,2
1260,1800.0,1.0,128.0,2
1264,1026.0,2.0,60.87,2
1266,975.0,2.0,58.0,2
1267,1101.0,2.0,65.5,2
1268,800.0,2.0,50.0,2
1270,1100.0,2.0,71.5,2
1279,1020.0,2.0,58.0,2
1280,1350.0,2.0,80.0,2
1282,900.0,2.0,55.0,2
1283,1041.0,2.0,65.5,2
1284,1200.0,2.0,75.0,2
1285,1188.0,2.0,73.0,2
1286,1174.0,2.0,76.0,2
1291,1200.0,2.0,67.0,2
1294,1128.0,2.0,64.0,2
1295,680.0,2.0,42.0,2
1298,955.0,2.0,53.55,2
1299,1150.0,2.0,63.0,2
1305,1200.0,3.0,70.0,2
1321,1400.0,1.0,80.0,2
1322,1172.0,2.0,82.0,2
1324,1180.0,2.0,65.0,2
1327,800.0,1.0,50.0,2
1328,1265.0,2.0,70.0,2
1330,1012.0,2.0,59.0,2
1333,1296.0,2.0,89.0,2
1335,1230.0,3.0,47.0,2
1336,1245.0,2.0,86.28,2
1339,925.0,2.0,51.0,2
1341,1100.0,2.0,65.0,2
1344,1424.0,2.0,90.0,2
1346,1150.0,2.0,80.0,2
1347,1185.0,2.0,65.0,2
1350,950.0,2.0,52.0,2
1352,1485.0,2.0,90.0,2
1357,1255.0,2.0,73.0,2
1363,985.0,2.0,58.0,2
1365,1430.0,2.0,97.52,2
1367,1352.0,2.0,87.5,2
1377,1195.0,2.0,84.0,2
1384,1190.0,2.0,68.0,2
1385,1125.0,2.0,63.0,2
1388,1268.0,2.0,73.0,2
1393,1101.0,2.0,65.0,2
1394,1140.0,2.0,76.0,2
1396,1198.0,2.0,84.0,2
1397,1370.0,2.0,75.0,2
1403,1179.0,2.0,75.0,2
1404,1000.0,1.0,55.0,2
1405,1200.0,2.0,80.0,2
1406,1200.0,2.0,66.0,2
1414,1232.0,2.0,69.61,2
1421,600.0,2.0,36.5,2
1422,1200.0,2.0,78.0,2
1423,1233.0,2.0,77.65,2
1431,1290.0,2.0,85.0,2
1434,900.0,2.0,64.0,2
1436,1270.0,2.0,83.0,2
1440,1025.0,2.0,57.0,2
1445,1310.0,2.0,80.0,2
1448,1200.0,2.0,70.0,2
1454,1300.0,2.0,79.0,2
